Province,Longitude,Latitude
National Capital Region,121.03,14.61
Ilocos Norte,120.73,18.30
Ilocos Sur,120.45,17.35
La Union,120.32,16.68
Pangasinan,120.31,16.00
Abra,120.80,17.68
Apayao,121.19,18.11
Benguet,120.70,16.54
Ifugao,121.11,16.85
Kalinga,121.38,17.43
Mountain Province,121.13,17.10
Batanes,121.89,20.55
Cagayan,121.76,17.89
Isabela,121.96,16.89
Nueva Vizcaya,121.17,16.31
Quirino,121.50,16.14
Aurora,121.70,15.82
Bataan,120.45,14.66
Bulacan,121.06,14.98
Nueva Ecija,121.02,15.62
Pampanga,120.65,15.06
Tarlac,120.48,15.48
Zambales,120.14,15.29
Batangas,121.03,13.90
Cavite,120.87,14.26
Laguna,121.37,14.24
Quezon,121.96,14.17
Rizal,121.26,14.62
Marinduque,121.97,13.39
Occidental Mindoro,120.89,12.97
Oriental Mindoro,121.26,12.97
Palawan,118.74,9.98
Romblon,122.23,12.44
Albay,123.62,13.21
Camarines Norte,122.73,14.14
Camarines Sur,123.26,13.70
Catanduanes,124.24,13.78
Masbate,123.55,12.29
Sorsogon,123.93,12.85
Aklan,122.25,11.61
Antique,122.07,11.13
Capiz,122.63,11.37
Iloilo,122.61,11.01
Negros Occidental,122.99,10.31
Bohol,124.20,9.85
Cebu,123.76,10.36
Guimaras,122.61,10.57
Negros Oriental,123.03,9.61
Siquijor,123.59,9.19
Biliran,124.47,11.60
Eastern Samar,125.38,11.65
Leyte,124.76,10.97
Northern Samar,124.79,12.41
Samar,124.94,11.85
Southern Leyte,125.05,10.29
Zamboanga del Norte,122.81,8.05
Zamboanga del Sur,122.99,7.68
Zamboanga Sibugay,122.73,7.69
Bukidnon,125.01,8.02
Camiguin,124.72,9.17
Lanao del Norte,124.04,8.03
Misamis Occidental,123.69,8.32
Misamis Oriental,124.79,8.63
Davao del Norte,125.64,7.59
Davao del Sur,125.35,7.02
Davao Oriental,126.30,7.25
Davao de Oro,126.02,7.57
Davao Occidental,125.54,6.10
North Cotabato,124.85,7.20
South Cotabato,124.85,6.28
Sultan Kudarat,124.43,6.53
Sarangani,125.16,6.06
Agusan del Norte,125.54,9.03
Agusan del Sur,125.73,8.42
Dinagat Islands,125.60,10.17
Surigao del Norte,125.74,9.67
Surigao del Sur,126.11,8.78
Basilan,122.02,6.58
Lanao del Sur,124.34,7.80
Sulu,121.06,5.95
Tawi-Tawi,119.90,5.24
Maguindanao,124.38,7.03
